lat,lon
48.5,-126.5
47.5,-126.5
42.5,-126.5
39.5,-126.5
38.5,-126.5
37.5,-126.5
36.5,-126.5
34.5,-126.5
25.5,-126.5
24.5,-126.5
14.5,-126.5
40.298333,-126.481
36.055,-126.4595
40.113333,-126.386833
39.187,-126.317333
45.394833,-126.278333
40.670333,-126.189167
33.1935,-126.177667
33.254,-126.109833
-5.0,126.0
41.361333,-125.996333
41.367667,-125.987833
33.83,-125.98
41.3835,-125.958
33.899833,-125.9525
37.031167,-125.942667
41.367667,-125.937333
41.4015,-125.929
36.470833,-125.9095
37.049333,-125.906833
37.07,-125.89
37.08,-125.86
40.1083,-125.85
42.170833,-125.734333
37.61,-125.73
37.632167,-125.704
37.123667,-125.698833
34.654167,-125.695
37.144333,-125.669833
37.1585,-125.651333
36.17,-125.65
35.886667,-125.625833
36.178,-125.625
35.88,-125.62
35.88,-125.62
35.88,-125.62
35.88,-125.62
41.457167,-125.6105
37.279167,-125.5995
37.2785,-125.533667
48.5,-125.5
47.5,-125.5
46.5,-125.5
45.5,-125.5
44.5,-125.5
43.5,-125.5
42.5,-125.5
41.5,-125.5
40.5,-125.5
39.5,-125.5
38.5,-125.5
37.5,-125.5
37.25,-125.5
36.5,-125.5
35.5,-125.5
33.5,-125.5
23.5,-125.5
13.5,-125.5
36.135,-125.471167
36.79,-125.44
36.11,-125.41
34.648833,-125.300833
38.5235,-125.2758
38.5637,-125.2697
40.117167,-125.1175
32.53,-125.03
36.257333,-125.026167
42.091667,-125.006833
43.5895,-124.996
39.7127,-124.9683
39.9785,-124.963
39.97,-124.96
36.070667,-124.934667
36.04,-124.89
37.244167,-124.888333
37.24,-124.88
37.24,-124.88
42.0397,-124.826
40.531333,-124.817667
39.086,-124.783
39.09,-124.78
33.926833,-124.773833
39.0638,-124.7727
39.964,-124.753333
34.963833,-124.743833
34.5247,-124.7108
42.81,-124.67
42.801333,-124.651833
42.428,-124.623333
43.086667,-124.601167
36.400167,-124.592
42.4275,-124.577
37.024667,-124.545167
41.93,-124.53
41.91,-124.53
41.91,-124.53
41.91,-124.53
41.91,-124.53
42.260833,-124.529167
41.89,-124.52
41.89,-124.52
42.684,-124.512167
41.92,-124.51
41.92,-124.51
41.88,-124.51
41.88,-124.51
41.88,-124.51
41.88,-124.51
41.88,-124.51
42.412833,-124.5035
47.5,-124.5
46.5,-124.5
45.5,-124.5
44.5,-124.5
43.5,-124.5
42.5,-124.5
41.5,-124.5
40.5,-124.5
39.5,-124.5
38.5,-124.5
37.5,-124.5
36.5,-124.5
35.5,-124.5
34.5,-124.5
33.5,-124.5
32.5,-124.5
31.5,-124.5
22.5,-124.5
13.5,-124.5
42.3665,-124.492167
41.91,-124.48
42.260833,-124.4725
41.78,-124.47
41.78,-124.47
41.78,-124.47
